"","p_brand","p_type","p_size","supplier_cnt"
"496","Brand#14","LARGE POLISHED BRASS",14,4
"497","Brand#14","LARGE POLISHED BRASS",36,4
"498","Brand#14","LARGE POLISHED NICKEL",3,4
"499","Brand#14","LARGE POLISHED NICKEL",14,4
"500","Brand#14","LARGE POLISHED STEEL",9,4
"501","Brand#14","LARGE POLISHED STEEL",23,4
"502","Brand#14","LARGE POLISHED STEEL",36,4
"503","Brand#14","MEDIUM ANODIZED NICKEL",3,4
"504","Brand#14","MEDIUM ANODIZED NICKEL",49,4
"505","Brand#14","MEDIUM ANODIZED STEEL",23,4
"506","Brand#14","MEDIUM ANODIZED STEEL",36,4
"507","Brand#14","MEDIUM BRUSHED BRASS",9,4
"508","Brand#14","MEDIUM BRUSHED COPPER",23,4
"509","Brand#14","MEDIUM BRUSHED STEEL",14,4
"510","Brand#14","MEDIUM BURNISHED COPPER",14,4
"511","Brand#14","MEDIUM BURNISHED STEEL",3,4
"512","Brand#14","MEDIUM BURNISHED STEEL",49,4
"513","Brand#14","MEDIUM PLATED BRASS",36,4
"514","Brand#14","MEDIUM PLATED STEEL",49,4
"515","Brand#14","MEDIUM PLATED TIN",14,4
"516","Brand#14","PROMO ANODIZED BRASS",49,4
"517","Brand#14","PROMO ANODIZED STEEL",36,4
"518","Brand#14","PROMO BRUSHED STEEL",19,4
"519","Brand#14","PROMO BURNISHED BRASS",23,4
"520","Brand#14","PROMO BURNISHED STEEL",36,4
"521","Brand#14","PROMO PLATED BRASS",9,4
"522","Brand#14","PROMO PLATED BRASS",45,4
"523","Brand#14","PROMO PLATED COPPER",45,4
"524","Brand#14","PROMO PLATED STEEL",3,4
"525","Brand#14","PROMO POLISHED BRASS",9,4
"526","Brand#14","PROMO POLISHED COPPER",49,4
"527","Brand#14","PROMO POLISHED STEEL",19,4
"528","Brand#14","SMALL ANODIZED STEEL",23,4
"529","Brand#14","SMALL ANODIZED TIN",23,4
"530","Brand#14","SMALL BRUSHED BRASS",19,4
"531","Brand#14","SMALL BRUSHED BRASS",36,4
"532","Brand#14","SMALL BRUSHED COPPER",9,4
"533","Brand#14","SMALL BRUSHED TIN",36,4
"534","Brand#14","SMALL BURNISHED BRASS",45,4
"535","Brand#14","SMALL BURNISHED COPPER",9,4
"536","Brand#14","SMALL BURNISHED COPPER",14,4
"537","Brand#14","SMALL BURNISHED COPPER",45,4
"538","Brand#14","SMALL BURNISHED NICKEL",36,4
"539","Brand#14","SMALL BURNISHED STEEL",36,4
"540","Brand#14","SMALL BURNISHED TIN",23,4
"541","Brand#14","SMALL PLATED NICKEL",3,4
"542","Brand#14","SMALL PLATED NICKEL",9,4
"543","Brand#14","SMALL PLATED STEEL",14,4
"544","Brand#14","SMALL POLISHED BRASS",36,4
"545","Brand#14","SMALL POLISHED COPPER",36,4
"546","Brand#14","SMALL POLISHED NICKEL",9,4
"547","Brand#14","SMALL POLISHED STEEL",14,4
"548","Brand#14","SMALL POLISHED TIN",14,4
"549","Brand#14","STANDARD ANODIZED BRASS",19,4
"550","Brand#14","STANDARD ANODIZED NICKEL",14,4
"551","Brand#14","STANDARD ANODIZED STEEL",9,4
"552","Brand#14","STANDARD BRUSHED COPPER",45,4
"553","Brand#14","STANDARD BRUSHED NICKEL",45,4
"554","Brand#14","STANDARD BRUSHED TIN",45,4
"555","Brand#14","STANDARD BURNISHED BRASS",9,4
"556","Brand#14","STANDARD BURNISHED BRASS",23,4
"557","Brand#14","STANDARD BURNISHED BRASS",49,4
"558","Brand#14","STANDARD BURNISHED NICKEL",9,4
"559","Brand#14","STANDARD PLATED BRASS",36,4
"560","Brand#14","STANDARD PLATED COPPER",45,4
"561","Brand#14","STANDARD POLISHED NICKEL",3,4
"562","Brand#14","STANDARD POLISHED NICKEL",9,4
"563","Brand#14","STANDARD POLISHED TIN",19,4
"564","Brand#15","ECONOMY ANODIZED COPPER",14,4
"565","Brand#15","ECONOMY ANODIZED STEEL",19,4
"566","Brand#15","ECONOMY ANODIZED STEEL",36,4
"567","Brand#15","ECONOMY BRUSHED BRASS",36,4
"568","Brand#15","ECONOMY BRUSHED COPPER",14,4
"569","Brand#15","ECONOMY BRUSHED NICKEL",14,4
"570","Brand#15","ECONOMY BRUSHED STEEL",3,4
"571","Brand#15","ECONOMY BRUSHED TIN",3,4
"572","Brand#15","ECONOMY BURNISHED BRASS",14,4
"573","Brand#15","ECONOMY BURNISHED COPPER",3,4
"574","Brand#15","ECONOMY BURNISHED COPPER",23,4
"575","Brand#15","ECONOMY PLATED NICKEL",49,4
"576","Brand#15","ECONOMY PLATED STEEL",3,4
"577","Brand#15","ECONOMY PLATED STEEL",19,4
"578","Brand#15","ECONOMY PLATED STEEL",45,4
"579","Brand#15","LARGE ANODIZED BRASS",19,4
"580","Brand#15","LARGE ANODIZED BRASS",36,4
"581","Brand#15","LARGE ANODIZED BRASS",45,4
"582","Brand#15","LARGE ANODIZED COPPER",3,4
"583","Brand#15","LARGE ANODIZED NICKEL",9,4
"584","Brand#15","LARGE ANODIZED TIN",19,4
"585","Brand#15","LARGE BRUSHED BRASS",9,4
"586","Brand#15","LARGE BRUSHED BRASS",19,4
"587","Brand#15","LARGE BRUSHED COPPER",14,4
"588","Brand#15","LARGE BRUSHED STEEL",9,4
"589","Brand#15","LARGE BRUSHED STEEL",14,4
"590","Brand#15","LARGE BRUSHED STEEL",19,4
"591","Brand#15","LARGE BRUSHED STEEL",36,4
"592","Brand#15","LARGE BURNISHED BRASS",14,4
"593","Brand#15","LARGE BURNISHED BRASS",19,4
"594","Brand#15","LARGE BURNISHED COPPER",9,4
"595","Brand#15","LARGE BURNISHED COPPER",45,4
"596","Brand#15","LARGE BURNISHED TIN",49,4
"597","Brand#15","LARGE PLATED BRASS",19,4
"598","Brand#15","LARGE PLATED COPPER",3,4
"599","Brand#15","LARGE PLATED COPPER",23,4
"600","Brand#15","LARGE PLATED NICKEL",36,4
"601","Brand#15","MEDIUM ANODIZED BRASS",23,4
"602","Brand#15","MEDIUM ANODIZED COPPER",9,4
"603","Brand#15","MEDIUM ANODIZED NICKEL",3,4
"604","Brand#15","MEDIUM ANODIZED TIN",19,4
"605","Brand#15","MEDIUM BRUSHED BRASS",9,4
"606","Brand#15","MEDIUM BRUSHED TIN",23,4
"607","Brand#15","MEDIUM BURNISHED COPPER",36,4
"608","Brand#15","MEDIUM BURNISHED TIN",45,4
"609","Brand#15","MEDIUM PLATED COPPER",9,4
"610","Brand#15","MEDIUM PLATED NICKEL",9,4
"611","Brand#15","MEDIUM PLATED NICKEL",19,4
"612","Brand#15","MEDIUM PLATED STEEL",36,4
"613","Brand#15","MEDIUM PLATED STEEL",49,4
"614","Brand#15","MEDIUM PLATED TIN",9,4
"615","Brand#15","MEDIUM PLATED TIN",14,4
"616","Brand#15","MEDIUM PLATED TIN",23,4
"617","Brand#15","PROMO ANODIZED COPPER",23,4
"618","Brand#15","PROMO ANODIZED STEEL",14,4
"619","Brand#15","PROMO ANODIZED TIN",45,4
"620","Brand#15","PROMO BRUSHED COPPER",14,4
"621","Brand#15","PROMO BRUSHED COPPER",19,4
"622","Brand#15","PROMO BRUSHED NICKEL",19,4
"623","Brand#15","PROMO BRUSHED NICKEL",23,4
"624","Brand#15","PROMO BRUSHED STEEL",14,4
"625","Brand#15","PROMO BRUSHED TIN",36,4
"626","Brand#15","PROMO BURNISHED NICKEL",9,4
"627","Brand#15","PROMO BURNISHED STEEL",45,4
"628","Brand#15","PROMO PLATED COPPER",3,4
"629","Brand#15","PROMO PLATED COPPER",36,4
"630","Brand#15","PROMO PLATED STEEL",3,4
"631","Brand#15","PROMO PLATED TIN",49,4
"632","Brand#15","PROMO POLISHED COPPER",3,4
"633","Brand#15","PROMO POLISHED NICKEL",36,4
"634","Brand#15","PROMO POLISHED STEEL",36,4
"635","Brand#15","PROMO POLISHED TIN",49,4
"636","Brand#15","SMALL ANODIZED BRASS",14,4
"637","Brand#15","SMALL ANODIZED BRASS",19,4
"638","Brand#15","SMALL ANODIZED COPPER",9,4
"639","Brand#15","SMALL ANODIZED TIN",45,4
"640","Brand#15","SMALL BRUSHED BRASS",3,4
"641","Brand#15","SMALL BRUSHED COPPER",19,4
"642","Brand#15","SMALL BRUSHED STEEL",23,4
"643","Brand#15","SMALL BRUSHED TIN",45,4
"644","Brand#15","SMALL BURNISHED BRASS",19,4
"645","Brand#15","SMALL BURNISHED COPPER",14,4
"646","Brand#15","SMALL BURNISHED NICKEL",19,4
"647","Brand#15","SMALL BURNISHED NICKEL",49,4
"648","Brand#15","SMALL BURNISHED STEEL",9,4
"649","Brand#15","SMALL BURNISHED TIN",19,4
"650","Brand#15","SMALL BURNISHED TIN",23,4
"651","Brand#15","SMALL BURNISHED TIN",36,4
"652","Brand#15","SMALL PLATED BRASS",3,4
"653","Brand#15","SMALL PLATED COPPER",23,4
"654","Brand#15","SMALL PLATED COPPER",49,4
"655","Brand#15","SMALL PLATED NICKEL",36,4
"656","Brand#15","SMALL PLATED NICKEL",45,4
"657","Brand#15","SMALL PLATED STEEL",3,4
"658","Brand#15","SMALL PLATED TIN",9,4
"659","Brand#15","SMALL POLISHED COPPER",9,4
"660","Brand#15","SMALL POLISHED NICKEL",3,4
"661","Brand#15","SMALL POLISHED STEEL",19,4
"662","Brand#15","SMALL POLISHED STEEL",36,4
"663","Brand#15","SMALL POLISHED TIN",19,4
"664","Brand#15","SMALL POLISHED TIN",49,4
"665","Brand#15","STANDARD ANODIZED NICKEL",19,4
"666","Brand#15","STANDARD ANODIZED NICKEL",49,4
"667","Brand#15","STANDARD ANODIZED TIN",36,4
"668","Brand#15","STANDARD BRUSHED NICKEL",3,4
"669","Brand#15","STANDARD BURNISHED BRASS",23,4
"670","Brand#15","STANDARD BURNISHED STEEL",3,4
"671","Brand#15","STANDARD BURNISHED STEEL",45,4
"672","Brand#15","STANDARD PLATED BRASS",36,4
"673","Brand#15","STANDARD PLATED COPPER",14,4
"674","Brand#15","STANDARD PLATED COPPER",23,4
"675","Brand#15","STANDARD PLATED NICKEL",19,4
"676","Brand#15","STANDARD PLATED TIN",45,4
"677","Brand#15","STANDARD POLISHED BRASS",14,4
"678","Brand#15","STANDARD POLISHED COPPER",23,4
"679","Brand#15","STANDARD POLISHED NICKEL",45,4
"680","Brand#21","ECONOMY ANODIZED BRASS",3,4
"681","Brand#21","ECONOMY ANODIZED NICKEL",14,4
"682","Brand#21","ECONOMY ANODIZED STEEL",19,4
"683","Brand#21","ECONOMY ANODIZED STEEL",23,4
"684","Brand#21","ECONOMY ANODIZED STEEL",49,4
"685","Brand#21","ECONOMY ANODIZED TIN",19,4
"686","Brand#21","ECONOMY BRUSHED BRASS",9,4
"687","Brand#21","ECONOMY BRUSHED BRASS",14,4
"688","Brand#21","ECONOMY BRUSHED BRASS",36,4
"689","Brand#21","ECONOMY BRUSHED COPPER",49,4
"690","Brand#21","ECONOMY BRUSHED STEEL",45,4
"691","Brand#21","ECONOMY BRUSHED TIN",49,4
"692","Brand#21","ECONOMY BURNISHED BRASS",3,4
"693","Brand#21","ECONOMY BURNISHED COPPER",45,4
"694","Brand#21","ECONOMY BURNISHED STEEL",19,4
"695","Brand#21","ECONOMY BURNISHED STEEL",36,4
"696","Brand#21","ECONOMY PLATED BRASS",36,4
"697","Brand#21","ECONOMY PLATED COPPER",3,4
"698","Brand#21","ECONOMY PLATED COPPER",14,4
"699","Brand#21","ECONOMY PLATED NICKEL",49,4
"700","Brand#21","ECONOMY POLISHED NICKEL",3,4
"701","Brand#21","ECONOMY POLISHED NICKEL",9,4
"702","Brand#21","LARGE ANODIZED COPPER",3,4
"703","Brand#21","LARGE ANODIZED COPPER",9,4
"704","Brand#21","LARGE ANODIZED STEEL",36,4
"705","Brand#21","LARGE ANODIZED TIN",45,4
"706","Brand#21","LARGE BRUSHED COPPER",45,4
"707","Brand#21","LARGE BRUSHED STEEL",23,4
"708","Brand#21","LARGE BURNISHED BRASS",49,4
"709","Brand#21","LARGE BURNISHED COPPER",19,4
"710","Brand#21","LARGE BURNISHED STEEL",49,4
"711","Brand#21","LARGE BURNISHED TIN",49,4
"712","Brand#21","LARGE PLATED BRASS",19,4
"713","Brand#21","LARGE PLATED NICKEL",23,4
"714","Brand#21","LARGE PLATED NICKEL",49,4
"715","Brand#21","LARGE PLATED TIN",19,4
"716","Brand#21","LARGE POLISHED BRASS",49,4
"717","Brand#21","LARGE POLISHED COPPER",14,4
"718","Brand#21","LARGE POLISHED NICKEL",3,4
"719","Brand#21","LARGE POLISHED NICKEL",14,4
"720","Brand#21","LARGE POLISHED STEEL",14,4
"721","Brand#21","LARGE POLISHED TIN",49,4
"722","Brand#21","MEDIUM ANODIZED COPPER",14,4
"723","Brand#21","MEDIUM ANODIZED NICKEL",49,4
"724","Brand#21","MEDIUM BRUSHED COPPER",3,4
"725","Brand#21","MEDIUM BRUSHED COPPER",49,4
"726","Brand#21","MEDIUM BRUSHED STEEL",23,4
"727","Brand#21","MEDIUM BRUSHED TIN",3,4
"728","Brand#21","MEDIUM BRUSHED TIN",14,4
"729","Brand#21","MEDIUM BURNISHED NICKEL",14,4
"730","Brand#21","MEDIUM BURNISHED STEEL",23,4
"731","Brand#21","MEDIUM BURNISHED TIN",3,4
"732","Brand#21","MEDIUM PLATED BRASS",3,4
"733","Brand#21","MEDIUM PLATED BRASS",19,4
"734","Brand#21","MEDIUM PLATED STEEL",36,4
"735","Brand#21","PROMO ANODIZED BRASS",9,4
"736","Brand#21","PROMO ANODIZED COPPER",14,4
"737","Brand#21","PROMO ANODIZED NICKEL",23,4
"738","Brand#21","PROMO ANODIZED STEEL",3,4
"739","Brand#21","PROMO ANODIZED STEEL",14,4
"740","Brand#21","PROMO ANODIZED STEEL",36,4
"741","Brand#21","PROMO BRUSHED NICKEL",45,4
"742","Brand#21","PROMO BRUSHED STEEL",14,4
"743","Brand#21","PROMO BRUSHED STEEL",23,4
"744","Brand#21","PROMO BRUSHED STEEL",45,4
"745","Brand#21","PROMO BURNISHED BRASS",19,4
"746","Brand#21","PROMO BURNISHED COPPER",19,4
"747","Brand#21","PROMO BURNISHED NICKEL",9,4
"748","Brand#21","PROMO BURNISHED TIN",19,4
"749","Brand#21","PROMO PLATED NICKEL",9,4
"750","Brand#21","PROMO PLATED NICKEL",36,4
"751","Brand#21","PROMO PLATED STEEL",49,4
"752","Brand#21","PROMO PLATED TIN",3,4
"753","Brand#21","PROMO POLISHED NICKEL",23,4
"754","Brand#21","PROMO POLISHED TIN",14,4
"755","Brand#21","PROMO POLISHED TIN",19,4
"756","Brand#21","PROMO POLISHED TIN",23,4
"757","Brand#21","SMALL BRUSHED BRASS",23,4
"758","Brand#21","SMALL BRUSHED COPPER",49,4
"759","Brand#21","SMALL BURNISHED BRASS",23,4
"760","Brand#21","SMALL BURNISHED BRASS",36,4
"761","Brand#21","SMALL BURNISHED STEEL",19,4
"762","Brand#21","SMALL BURNISHED TIN",19,4
"763","Brand#21","SMALL PLATED BRASS",45,4
"764","Brand#21","SMALL PLATED COPPER",45,4
"765","Brand#21","SMALL PLATED STEEL",45,4
"766","Brand#21","SMALL PLATED TIN",14,4
"767","Brand#21","SMALL PLATED TIN",45,4
"768","Brand#21","SMALL POLISHED COPPER",9,4
"769","Brand#21","SMALL POLISHED NICKEL",23,4
"770","Brand#21","SMALL POLISHED TIN",3,4
"771","Brand#21","STANDARD ANODIZED BRASS",9,4
"772","Brand#21","STANDARD ANODIZED NICKEL",19,4
"773","Brand#21","STANDARD ANODIZED TIN",45,4
"774","Brand#21","STANDARD BURNISHED COPPER",36,4
"775","Brand#21","STANDARD BURNISHED NICKEL",23,4
"776","Brand#21","STANDARD BURNISHED TIN",9,4
"777","Brand#21","STANDARD PLATED BRASS",14,4
"778","Brand#21","STANDARD PLATED COPPER",19,4
"779","Brand#21","STANDARD PLATED NICKEL",3,4
"780","Brand#21","STANDARD PLATED STEEL",9,4
"781","Brand#21","STANDARD PLATED TIN",9,4
"782","Brand#21","STANDARD POLISHED BRASS",9,4
"783","Brand#21","STANDARD POLISHED COPPER",49,4
"784","Brand#21","STANDARD POLISHED STEEL",36,4
"785","Brand#21","STANDARD POLISHED TIN",36,4
"786","Brand#22","ECONOMY ANODIZED STEEL",9,4
"787","Brand#22","ECONOMY ANODIZED STEEL",14,4
"788","Brand#22","ECONOMY ANODIZED STEEL",23,4
"789","Brand#22","ECONOMY ANODIZED TIN",9,4
"790","Brand#22","ECONOMY ANODIZED TIN",36,4
"791","Brand#22","ECONOMY BRUSHED NICKEL",36,4
"792","Brand#22","ECONOMY BRUSHED NICKEL",45,4
"793","Brand#22","ECONOMY BURNISHED BRASS",9,4
"794","Brand#22","ECONOMY BURNISHED BRASS",23,4
"795","Brand#22","ECONOMY BURNISHED BRASS",45,4
"796","Brand#22","ECONOMY BURNISHED NICKEL",19,4
"797","Brand#22","ECONOMY BURNISHED NICKEL",49,4
"798","Brand#22","ECONOMY BURNISHED STEEL",9,4
"799","Brand#22","ECONOMY BURNISHED STEEL",14,4
"800","Brand#22","ECONOMY BURNISHED STEEL",23,4
"801","Brand#22","ECONOMY PLATED BRASS",36,4
"802","Brand#22","ECONOMY PLATED COPPER",23,4
"803","Brand#22","ECONOMY PLATED TIN",3,4
"804","Brand#22","ECONOMY POLISHED TIN",49,4
"805","Brand#22","LARGE ANODIZED BRASS",19,4
"806","Brand#22","LARGE ANODIZED COPPER",36,4
"807","Brand#22","LARGE ANODIZED STEEL",3,4
"808","Brand#22","LARGE BRUSHED BRASS",23,4
"809","Brand#22","LARGE BRUSHED BRASS",49,4
"810","Brand#22","LARGE BRUSHED STEEL",49,4
"811","Brand#22","LARGE BURNISHED COPPER",19,4
"812","Brand#22","LARGE BURNISHED STEEL",23,4
"813","Brand#22","LARGE BURNISHED STEEL",45,4
"814","Brand#22","LARGE BURNISHED TIN",45,4
"815","Brand#22","LARGE PLATED COPPER",14,4
"816","Brand#22","LARGE PLATED STEEL",49,4
"817","Brand#22","LARGE POLISHED BRASS",19,4
"818","Brand#22","LARGE POLISHED COPPER",19,4
"819","Brand#22","LARGE POLISHED COPPER",23,4
"820","Brand#22","LARGE POLISHED NICKEL",19,4
"821","Brand#22","LARGE POLISHED TIN",49,4
"822","Brand#22","MEDIUM ANODIZED BRASS",45,4
"823","Brand#22","MEDIUM ANODIZED COPPER",19,4
"824","Brand#22","MEDIUM ANODIZED COPPER",49,4
"825","Brand#22","MEDIUM ANODIZED NICKEL",9,4
"826","Brand#22","MEDIUM ANODIZED NICKEL",14,4
"827","Brand#22","MEDIUM ANODIZED NICKEL",36,4
"828","Brand#22","MEDIUM ANODIZED TIN",3,4
"829","Brand#22","MEDIUM ANODIZED TIN",9,4
"830","Brand#22","MEDIUM BRUSHED BRASS",3,4
"831","Brand#22","MEDIUM BRUSHED BRASS",14,4
"832","Brand#22","MEDIUM BRUSHED COPPER",3,4
"833","Brand#22","MEDIUM BRUSHED COPPER",45,4
"834","Brand#22","MEDIUM BRUSHED NICKEL",14,4
"835","Brand#22","MEDIUM BRUSHED TIN",45,4
"836","Brand#22","MEDIUM BURNISHED COPPER",36,4
"837","Brand#22","MEDIUM BURNISHED TIN",19,4
"838","Brand#22","MEDIUM BURNISHED TIN",23,4
"839","Brand#22","MEDIUM BURNISHED TIN",49,4
"840","Brand#22","MEDIUM PLATED BRASS",49,4
"841","Brand#22","MEDIUM PLATED COPPER",9,4
"842","Brand#22","MEDIUM PLATED STEEL",3,4
"843","Brand#22","PROMO ANODIZED BRASS",9,4
"844","Brand#22","PROMO ANODIZED STEEL",36,4
"845","Brand#22","PROMO ANODIZED TIN",45,4
"846","Brand#22","PROMO BRUSHED BRASS",3,4
"847","Brand#22","PROMO BRUSHED BRASS",9,4
"848","Brand#22","PROMO BRUSHED BRASS",36,4
"849","Brand#22","PROMO BRUSHED STEEL",36,4
"850","Brand#22","PROMO BURNISHED BRASS",23,4
"851","Brand#22","PROMO BURNISHED COPPER",9,4
"852","Brand#22","PROMO PLATED BRASS",14,4
"853","Brand#22","PROMO PLATED BRASS",45,4
"854","Brand#22","PROMO PLATED NICKEL",3,4
"855","Brand#22","PROMO PLATED STEEL",19,4
"856","Brand#22","PROMO POLISHED BRASS",3,4
"857","Brand#22","PROMO POLISHED STEEL",14,4
"858","Brand#22","PROMO POLISHED STEEL",23,4
"859","Brand#22","SMALL ANODIZED TIN",36,4
"860","Brand#22","SMALL ANODIZED TIN",49,4
"861","Brand#22","SMALL BRUSHED NICKEL",3,4
"862","Brand#22","SMALL BRUSHED NICKEL",36,4
"863","Brand#22","SMALL BRUSHED NICKEL",45,4
"864","Brand#22","SMALL BRUSHED TIN",45,4
"865","Brand#22","SMALL BURNISHED STEEL",23,4
"866","Brand#22","SMALL BURNISHED TIN",14,4
"867","Brand#22","SMALL PLATED STEEL",3,4
"868","Brand#22","SMALL PLATED TIN",9,4
"869","Brand#22","SMALL PLATED TIN",36,4
"870","Brand#22","SMALL POLISHED BRASS",23,4
"871","Brand#22","SMALL POLISHED NICKEL",19,4
"872","Brand#22","STANDARD ANODIZED BRASS",14,4
"873","Brand#22","STANDARD ANODIZED BRASS",23,4
"874","Brand#22","STANDARD BRUSHED COPPER",49,4
"875","Brand#22","STANDARD BRUSHED NICKEL",3,4
"876","Brand#22","STANDARD BRUSHED NICKEL",23,4
"877","Brand#22","STANDARD BRUSHED STEEL",9,4
"878","Brand#22","STANDARD BRUSHED TIN",19,4
"879","Brand#22","STANDARD BURNISHED COPPER",45,4
"880","Brand#22","STANDARD BURNISHED NICKEL",3,4
"881","Brand#22","STANDARD BURNISHED NICKEL",14,4
"882","Brand#22","STANDARD BURNISHED NICKEL",45,4
"883","Brand#22","STANDARD BURNISHED STEEL",3,4
"884","Brand#22","STANDARD BURNISHED STEEL",36,4
"885","Brand#22","STANDARD BURNISHED STEEL",45,4
"886","Brand#22","STANDARD BURNISHED STEEL",49,4
"887","Brand#22","STANDARD PLATED BRASS",45,4
"888","Brand#22","STANDARD PLATED NICKEL",3,4
"889","Brand#22","STANDARD PLATED NICKEL",45,4
"890","Brand#22","STANDARD PLATED STEEL",14,4
"891","Brand#22","STANDARD PLATED TIN",19,4
"892","Brand#22","STANDARD PLATED TIN",49,4
"893","Brand#22","STANDARD POLISHED COPPER",9,4
"894","Brand#22","STANDARD POLISHED STEEL",49,4
"895","Brand#22","STANDARD POLISHED TIN",45,4
"896","Brand#23","ECONOMY ANODIZED NICKEL",49,4
"897","Brand#23","ECONOMY ANODIZED STEEL",14,4
"898","Brand#23","ECONOMY ANODIZED STEEL",49,4
"899","Brand#23","ECONOMY ANODIZED TIN",49,4
"900","Brand#23","ECONOMY BRUSHED BRASS",3,4
"901","Brand#23","ECONOMY BRUSHED COPPER",9,4
"902","Brand#23","ECONOMY BRUSHED TIN",9,4
"903","Brand#23","ECONOMY BURNISHED STEEL",49,4
"904","Brand#23","ECONOMY PLATED COPPER",14,4
"905","Brand#23","ECONOMY PLATED NICKEL",23,4
"906","Brand#23","ECONOMY PLATED STEEL",14,4
"907","Brand#23","ECONOMY POLISHED NICKEL",9,4
"908","Brand#23","LARGE ANODIZED BRASS",14,4
"909","Brand#23","LARGE ANODIZED COPPER",9,4
"910","Brand#23","LARGE ANODIZED COPPER",14,4
"911","Brand#23","LARGE ANODIZED COPPER",45,4
"912","Brand#23","LARGE ANODIZED STEEL",19,4
"913","Brand#23","LARGE ANODIZED STEEL",36,4
"914","Brand#23","LARGE ANODIZED STEEL",49,4
"915","Brand#23","LARGE ANODIZED TIN",9,4
"916","Brand#23","LARGE PLATED BRASS",9,4
"917","Brand#23","LARGE PLATED BRASS",49,4
"918","Brand#23","LARGE PLATED COPPER",3,4
"919","Brand#23","LARGE POLISHED BRASS",45,4
"920","Brand#23","LARGE POLISHED STEEL",9,4
"921","Brand#23","MEDIUM ANODIZED BRASS",19,4
"922","Brand#23","MEDIUM ANODIZED NICKEL",3,4
"923","Brand#23","MEDIUM ANODIZED NICKEL",14,4
"924","Brand#23","MEDIUM ANODIZED STEEL",45,4
"925","Brand#23","MEDIUM ANODIZED TIN",36,4
"926","Brand#23","MEDIUM ANODIZED TIN",45,4
"927","Brand#23","MEDIUM BRUSHED COPPER",3,4
"928","Brand#23","MEDIUM BRUSHED COPPER",23,4
"929","Brand#23","MEDIUM BRUSHED NICKEL",3,4
"930","Brand#23","MEDIUM BRUSHED TIN",14,4
"931","Brand#23","MEDIUM BURNISHED BRASS",9,4
"932","Brand#23","MEDIUM BURNISHED BRASS",45,4
"933","Brand#23","MEDIUM BURNISHED COPPER",19,4
"934","Brand#23","MEDIUM PLATED COPPER",19,4
"935","Brand#23","MEDIUM PLATED COPPER",36,4
"936","Brand#23","MEDIUM PLATED COPPER",45,4
"937","Brand#23","MEDIUM PLATED NICKEL",9,4
"938","Brand#23","MEDIUM PLATED NICKEL",14,4
"939","Brand#23","PROMO ANODIZED COPPER",9,4
"940","Brand#23","PROMO ANODIZED COPPER",19,4
"941","Brand#23","PROMO ANODIZED STEEL",36,4
"942","Brand#23","PROMO ANODIZED TIN",14,4
"943","Brand#23","PROMO BRUSHED BRASS",3,4
"944","Brand#23","PROMO BRUSHED BRASS",19,4
"945","Brand#23","PROMO BRUSHED BRASS",36,4
"946","Brand#23","PROMO BRUSHED COPPER",3,4
"947","Brand#23","PROMO BRUSHED TIN",49,4
"948","Brand#23","PROMO BURNISHED BRASS",14,4
"949","Brand#23","PROMO BURNISHED BRASS",45,4
"950","Brand#23","PROMO BURNISHED COPPER",14,4
"951","Brand#23","PROMO PLATED BRASS",23,4
"952","Brand#23","PROMO POLISHED BRASS",14,4
"953","Brand#23","PROMO POLISHED BRASS",23,4
"954","Brand#23","PROMO POLISHED COPPER",36,4
"955","Brand#23","PROMO POLISHED STEEL",36,4
"956","Brand#23","SMALL ANODIZED BRASS",23,4
"957","Brand#23","SMALL ANODIZED STEEL",23,4
"958","Brand#23","SMALL BRUSHED BRASS",49,4
"959","Brand#23","SMALL BRUSHED COPPER",45,4
"960","Brand#23","SMALL BRUSHED STEEL",3,4
"961","Brand#23","SMALL BRUSHED STEEL",19,4
"962","Brand#23","SMALL BURNISHED BRASS",36,4
"963","Brand#23","SMALL BURNISHED COPPER",45,4
"964","Brand#23","SMALL BURNISHED COPPER",49,4
"965","Brand#23","SMALL BURNISHED STEEL",45,4
"966","Brand#23","SMALL PLATED BRASS",36,4
"967","Brand#23","SMALL PLATED BRASS",49,4
"968","Brand#23","SMALL PLATED COPPER",14,4
"969","Brand#23","SMALL PLATED TIN",14,4
"970","Brand#23","SMALL POLISHED BRASS",9,4
"971","Brand#23","SMALL POLISHED BRASS",14,4
"972","Brand#23","SMALL POLISHED NICKEL",3,4
"973","Brand#23","SMALL POLISHED STEEL",14,4
"974","Brand#23","SMALL POLISHED TIN",9,4
"975","Brand#23","STANDARD ANODIZED BRASS",19,4
"976","Brand#23","STANDARD ANODIZED BRASS",45,4
"977","Brand#23","STANDARD ANODIZED COPPER",19,4
"978","Brand#23","STANDARD ANODIZED TIN",3,4
"979","Brand#23","STANDARD BRUSHED COPPER",36,4
"980","Brand#23","STANDARD BRUSHED NICKEL",19,4
"981","Brand#23","STANDARD BRUSHED STEEL",49,4
"982","Brand#23","STANDARD BURNISHED COPPER",19,4
"983","Brand#23","STANDARD PLATED BRASS",3,4
"984","Brand#23","STANDARD PLATED BRASS",9,4
"985","Brand#23","STANDARD PLATED STEEL",36,4
"986","Brand#23","STANDARD PLATED TIN",19,4
"987","Brand#23","STANDARD POLISHED BRASS",9,4
"988","Brand#23","STANDARD POLISHED BRASS",49,4
"989","Brand#23","STANDARD POLISHED STEEL",19,4
"990","Brand#23","STANDARD POLISHED STEEL",49,4
"991","Brand#23","STANDARD POLISHED TIN",23,4
